# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = model_model
# start_datetime = 2026-04-03 14:38:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = player_data.json
# init = 2 (Default)
# random
#   seed = 1525752240 (Default)
# output
#   file = player_data_results.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 2
# stanc_version = stanc3 v2.38.0-77-g002979f
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,kappa,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.652234
# Diagonal elements of inverse mass matrix:
# 0.0497907, 0.360279, 0.0129089, 0.0121742, 0.00838909, 0.00641804
-1061.9555,0.98047974,0.6522339,2,7,0,1066.5242,0.29661264,12.734861,0.26340122,0.25727744,0.32340706,0.30521589
-1067.9251,0.67115402,0.6522339,2,3,0,1069.7375,0.22153351,24.300458,0.2199658,0.31863069,0.32999588,0.27852278
-1068.945,0.98043497,0.6522339,3,7,0,1071.9596,0.25947417,14.244767,0.30984137,0.21341741,0.29456874,0.35107054
-1064.1451,1,0.6522339,3,7,0,1069.8176,0.27117648,10.065016,0.2952599,0.25031457,0.31840404,0.33225834
-1061.8058,0.96444722,0.6522339,2,3,0,1065.4402,0.26436934,13.800451,0.28290921,0.25607756,0.30516519,0.31228799
-1061.0909,0.96525293,0.6522339,3,7,0,1063.482,0.27531611,29.040707,0.25131438,0.28666226,0.30139294,0.29978956
-1060.9211,0.96301683,0.6522339,3,7,0,1062.1195,0.2746161,30.200806,0.25815049,0.2530499,0.29300579,0.30263015
-1061.8336,0.87834834,0.6522339,3,7,0,1063.4666,0.26934157,40.123198,0.25044785,0.25842052,0.30596858,0.28152017
-1061.4676,0.99627241,0.6522339,3,7,0,1062.756,0.28706496,15.938295,0.2677205,0.26576378,0.31032948,0.32282874
-1065.6908,0.82954756,0.6522339,3,7,0,1066.6434,0.15225467,10.556781,0.23016151,0.27521502,0.29183506,0.29524959
-1063.884,0.87086589,0.6522339,2,7,0,1072.5938,0.18973552,23.797878,0.26319368,0.25315771,0.27922433,0.2925383
-1063.3965,0.91666397,0.6522339,3,7,0,1066.0753,0.36519337,11.152216,0.26488684,0.28421459,0.32805895,0.31787678
-1062.3976,0.95944735,0.6522339,3,7,0,1065.9621,0.25935388,47.659296,0.2839526,0.25246445,0.29443849,0.32128508
-1062.6696,1,0.6522339,3,7,0,1063.9458,0.3067594,19.113252,0.28006699,0.27946919,0.28682575,0.27845125
-1064.9648,0.92759464,0.6522339,3,7,0,1067.3319,0.32051642,21.40801,0.28165814,0.26727502,0.32593959,0.35630711
-1062.3827,0.76093302,0.6522339,2,3,0,1070.4618,0.3070881,13.547994,0.29527626,0.26649775,0.29826257,0.32080724
-1064.2699,0.89297719,0.6522339,2,3,0,1065.7062,0.41312373,18.020852,0.28535229,0.28527419,0.31407677,0.31489224
-1063.5701,0.96977264,0.6522339,3,7,0,1065.8022,0.29542481,5.722606,0.26550805,0.27687979,0.29038403,0.29760252
-1067.0372,0.85701971,0.6522339,2,7,0,1068.6525,0.4500303,7.7779133,0.27314098,0.30669548,0.33287239,0.30857868
-1071.7522,0.74699312,0.6522339,2,3,0,1074.1214,0.5361231,11.26326,0.27041047,0.28959304,0.35173065,0.31764419
-1070.0781,1,0.6522339,2,3,0,1072.6724,0.4963386,12.535865,0.2784782,0.28178907,0.35348672,0.32381451
-1068.8406,0.69338402,0.6522339,2,3,0,1073.0309,0.42036073,6.1882316,0.27298446,0.28672658,0.36135737,0.32758638
-1065.0557,0.95011109,0.6522339,3,7,0,1072.8161,0.25666135,22.892413,0.257882,0.24779478,0.25079062,0.28782414
-1063.1683,1,0.6522339,2,3,0,1065.9244,0.26241266,27.170195,0.27541715,0.2592556,0.26433631,0.28669575
-1060.7733,0.93603998,0.6522339,3,7,0,1065.8018,0.30890853,28.500958,0.26890747,0.27470859,0.31110247,0.30812864
-1062.2334,0.82987452,0.6522339,3,7,0,1063.2243,0.22807766,25.20672,0.25354543,0.28030055,0.28668327,0.31617101
-1064.3124,0.90749757,0.6522339,3,7,0,1066.1743,0.34937701,33.179446,0.26431564,0.31650059,0.31108823,0.2877803
-1063.055,0.92595431,0.6522339,3,7,0,1065.9986,0.26992997,11.86208,0.28231319,0.30174934,0.29808121,0.29736254
-1062.3196,0.98124178,0.6522339,3,7,0,1064.9337,0.27040839,28.8132,0.23625653,0.28031177,0.30233292,0.28051052
-1062.6727,0.96486865,0.6522339,3,7,0,1064.5528,0.2842376,36.539551,0.28617388,0.29250681,0.27913319,0.28841991
-1065.42,0.59977964,0.6522339,3,7,0,1068.5159,0.39884983,8.2685883,0.24998436,0.27075672,0.33242534,0.33163239
-1066.0186,0.94400104,0.6522339,3,7,0,1069.5209,0.19979501,45.665167,0.22310853,0.26845153,0.27853747,0.28651862
-1063.2626,1,0.6522339,3,7,0,1066.495,0.2554874,13.777635,0.2335466,0.26880593,0.27770948,0.28942559
-1063.2466,0.94931308,0.6522339,3,7,0,1066.5058,0.30046518,9.3266699,0.22988923,0.27765765,0.29703155,0.2987195
-1061.8414,0.85216497,0.6522339,2,7,0,1068.3882,0.25196401,17.213005,0.26199499,0.28137342,0.285444,0.31545533
-1061.375,0.94353456,0.6522339,3,7,0,1064.1064,0.30695516,42.417116,0.25213153,0.27887361,0.30542529,0.29723607
-1063.1403,0.78514214,0.6522339,3,7,0,1065.0402,0.31719818,23.708133,0.26274332,0.23602655,0.3021243,0.33461826
-1063.0635,0.96279016,0.6522339,3,7,0,1066.0361,0.23124545,26.891986,0.28575326,0.27929181,0.30499772,0.27886511
-1062.7745,0.94509271,0.6522339,3,7,0,1065.951,0.33367476,31.94266,0.27518677,0.26452155,0.33811479,0.31817173
-1061.4616,1,0.6522339,3,7,0,1062.9409,0.29713233,30.336361,0.27545656,0.26886956,0.32839673,0.31279245
-1063.1673,0.8173362,0.6522339,2,7,0,1065.5621,0.30505191,40.046224,0.27529013,0.24394461,0.32227199,0.3340978
-1062.1892,0.96995195,0.6522339,3,7,0,1064.7217,0.32211456,37.167867,0.30460364,0.26761533,0.30890056,0.310754
-1066.6555,0.29483982,0.6522339,3,7,0,1070.8247,0.26061698,3.7932318,0.2493907,0.27424587,0.34571882,0.31344228
-1067.317,0.90430319,0.6522339,3,7,0,1072.3546,0.41272531,32.617179,0.29544158,0.27766758,0.2929584,0.28418136
-1063.7934,1,0.6522339,3,7,0,1069.4738,0.19636587,14.135456,0.2722607,0.25551149,0.27573427,0.29446943
-1061.9519,0.96353656,0.6522339,3,7,0,1066.6345,0.31233061,19.166168,0.25846587,0.28235043,0.33017951,0.31030818
-1062.5307,0.92037068,0.6522339,3,7,0,1064.788,0.24900051,36.645204,0.26301885,0.24687731,0.29153646,0.27780153
-1063.6803,0.93124214,0.6522339,3,7,0,1065.5502,0.32065081,36.682217,0.26302279,0.3199724,0.28751616,0.30613492
-1061.6307,0.9017571,0.6522339,3,7,0,1065.5296,0.28874661,50.473353,0.26993407,0.26093363,0.28474863,0.31145432
-1061.4983,0.99856703,0.6522339,3,7,0,1062.4136,0.28558843,16.354417,0.25874973,0.27294513,0.32243022,0.30018472
