# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = test_model
# start_datetime = 2026-03-26 06:32:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = data.json
# init = 2 (Default)
# random
#   seed = 805450934 (Default)
# output
#   file = results.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,kappa,theta.1,theta.2,theta.3
# Adaptation terminated
# Step size = 0.550906
# Diagonal elements of inverse mass matrix:
# 0.0903216, 0.560335, 0.0143741, 0.00762163, 0.00798517
-850.63743,0.53874424,0.55090594,3,7,0,854.69344,0.31041133,46.092048,0.25738008,0.32676998,0.27398559
-854.02256,0.54479599,0.55090594,3,7,0,855.55225,0.16904054,3.3013261,0.26323538,0.27627363,0.34124506
-848.90117,1,0.55090594,3,7,0,854.57733,0.21945641,21.949618,0.27108004,0.30454084,0.32004141
-849.99633,0.94787303,0.55090594,3,7,0,850.91212,0.38604847,22.526022,0.29100661,0.30235951,0.29121737
-853.22706,0.7060694,0.55090594,3,7,0,855.59024,0.26781523,6.129942,0.3246084,0.27486579,0.29317875
-851.24428,0.94305607,0.55090594,3,7,0,857.61897,0.24726901,22.852173,0.24810437,0.25220064,0.29628272
-853.57049,0.92014564,0.55090594,3,7,0,855.46562,0.3377518,23.360151,0.26094411,0.37375495,0.32088489
-848.25521,0.99517546,0.55090594,3,7,0,854.84812,0.29302251,27.872944,0.25040181,0.29896482,0.32565852
-851.04636,0.84388648,0.55090594,2,3,0,851.60323,0.26709875,13.556252,0.24615199,0.2716943,0.34087983
-851.076,0.92966952,0.55090594,3,7,0,856.68191,0.20506651,13.808081,0.28206763,0.33414149,0.28262718
-848.30899,0.98390782,0.55090594,3,7,0,851.55148,0.31967065,13.146003,0.28301319,0.29861429,0.30572563
-849.33769,0.9496609,0.55090594,3,7,0,850.57413,0.23828444,32.226044,0.26813182,0.27261212,0.3114857
-849.10337,0.9631399,0.55090594,3,7,0,851.5971,0.34782034,11.094469,0.26200082,0.32667929,0.31042736
-852.55682,0.82759734,0.55090594,3,7,0,854.49474,0.43941204,10.707374,0.28312259,0.28563527,0.34082413
-850.36024,0.97208048,0.55090594,3,7,0,855.32548,0.20780062,12.985287,0.22868445,0.29754007,0.32712193
-849.39513,1,0.55090594,3,7,0,851.2034,0.32987079,33.529303,0.26399025,0.2902582,0.2812108
-851.94183,0.87224452,0.55090594,3,7,0,854.50038,0.28120772,8.1453667,0.2225883,0.26616506,0.29698375
-848.22381,0.99811469,0.55090594,3,7,0,853.23204,0.30113475,32.878138,0.28405741,0.32008773,0.30214189
-849.81138,0.87973991,0.55090594,3,7,0,850.62115,0.23127523,8.3730997,0.23016685,0.30781219,0.31154069
-850.41538,0.96771503,0.55090594,3,7,0,851.66791,0.37786838,28.081219,0.30502152,0.30029961,0.29489302
-849.62292,1,0.55090594,2,3,0,851.29745,0.32516213,18.690173,0.3127909,0.31654772,0.30673753
-848.48783,0.97772163,0.55090594,3,7,0,851.11252,0.27380748,20.443113,0.24577207,0.27951978,0.30547653
-851.95961,0.83127855,0.55090594,2,3,0,852.39944,0.21574956,11.488984,0.23527542,0.2627351,0.2817608
-851.76206,1,0.55090594,3,7,0,852.4826,0.20095684,11.88125,0.23619853,0.26907757,0.27838067
-849.99013,0.97183453,0.55090594,2,3,0,853.27971,0.2144671,20.025361,0.22482392,0.29261386,0.28905059
-849.87093,0.96529416,0.55090594,3,7,0,852.07783,0.30803986,13.867484,0.25958361,0.29587618,0.34396127
-850.08603,0.99096549,0.55090594,3,7,0,852.21427,0.2328963,12.690255,0.22179714,0.29466404,0.29041805
-849.04041,0.98585218,0.55090594,3,7,0,852.1778,0.33737859,17.195736,0.29836536,0.2922945,0.31475758
-847.80621,0.98760276,0.55090594,2,7,0,849.66418,0.3211235,20.821855,0.26455604,0.30793573,0.29867674
-848.66917,0.94777329,0.55090594,2,7,0,849.44719,0.27631689,18.585459,0.22893115,0.30117876,0.30299023
-849.67479,0.92865621,0.55090594,3,7,0,851.23069,0.37381137,10.117574,0.29556307,0.30283208,0.30688236
-849.03725,0.98429081,0.55090594,2,7,0,850.54255,0.34196022,8.4393103,0.26891287,0.30690777,0.29555659
-849.53612,0.856762,0.55090594,3,7,0,852.69269,0.38369135,18.982896,0.25315741,0.32008952,0.30017436
-852.92946,0.86620046,0.55090594,3,7,0,856.6584,0.23456568,11.594919,0.22291992,0.34773278,0.32995157
-849.78054,1,0.55090594,3,7,0,855.58936,0.33960346,53.988702,0.27324489,0.3144732,0.29489956
-850.9854,0.98888072,0.55090594,3,7,0,854.54542,0.18807499,5.9498298,0.22936054,0.31071279,0.30524835
-850.19774,0.98742251,0.55090594,3,7,0,852.91706,0.35772337,46.963277,0.29505292,0.29494251,0.31165949
-849.17502,1,0.55090594,3,7,0,852.17356,0.25094747,7.9879814,0.2471138,0.31623988,0.30910028
-849.60897,0.98017687,0.55090594,3,7,0,851.44729,0.20688442,19.438832,0.28541429,0.28340667,0.30008219
-848.01517,1,0.55090594,2,3,0,849.73705,0.25468428,13.948943,0.26063517,0.2954196,0.3072604
-849.22332,0.85527553,0.55090594,3,7,0,853.19949,0.36854237,8.6996575,0.25587219,0.30090683,0.30477916
-848.25233,0.96698759,0.55090594,3,7,0,850.44461,0.3357334,23.304782,0.25646719,0.29537536,0.317014
-848.29233,0.99289351,0.55090594,3,7,0,848.89546,0.31113746,14.016315,0.26671165,0.30792476,0.29019409
-848.40574,0.97204334,0.55090594,3,7,0,850.03418,0.26741512,26.780596,0.28169871,0.30085078,0.32478754
