# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = model_model
# start_datetime = 2026-04-03 14:32:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = player_data.json
# init = 2 (Default)
# random
#   seed = 1525420468 (Default)
# output
#   file = base_model_results.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 2
# stanc_version = stanc3 v2.38.0-77-g002979f
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,kappa,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.610302
# Diagonal elements of inverse mass matrix:
# 0.0470834, 0.35669, 0.0144418, 0.0134428, 0.00826597, 0.00758519
-1064.1885,0.99423735,0.61030207,3,7,0,1065.6525,0.25184145,7.6188391,0.23242788,0.28171368,0.3255129,0.30184603
-1064.2771,0.99340708,0.61030207,3,7,0,1067.7112,0.19249811,16.753452,0.27919285,0.24499652,0.27476579,0.303075
-1063.6446,1,0.61030207,3,7,0,1066.2342,0.22615671,11.13914,0.24127932,0.2858102,0.32753546,0.30363067
-1064.5139,0.96930575,0.61030207,3,7,0,1066.31,0.27503244,21.261823,0.32286282,0.29612174,0.28876032,0.31265821
-1064.3469,1,0.61030207,3,7,0,1066.3791,0.26803834,33.377239,0.21035979,0.24033526,0.30813293,0.29484462
-1064.5858,0.94581956,0.61030207,2,7,0,1065.9732,0.30724591,29.20775,0.21580233,0.23727181,0.30278914,0.29178554
-1064.929,0.98173974,0.61030207,3,7,0,1067.0929,0.24252639,17.984188,0.31264396,0.30233418,0.29670201,0.3215864
-1063.1958,0.99076066,0.61030207,3,7,0,1066.7906,0.34212549,13.69155,0.30918789,0.27463461,0.30191124,0.30578491
-1062.9312,0.97747589,0.61030207,3,7,0,1065.6012,0.27528631,20.181256,0.22895567,0.27238523,0.33151089,0.31381455
-1063.4616,0.95124768,0.61030207,3,7,0,1066.7445,0.28505226,6.85113,0.29153066,0.27150634,0.30933508,0.31461981
-1065.442,0.93062615,0.61030207,3,7,0,1067.4919,0.22512785,62.734006,0.26903898,0.27160148,0.26703559,0.28668015
-1065.4846,1,0.61030207,3,7,0,1067.8466,0.23130794,42.578827,0.25951112,0.28836652,0.2535645,0.29343573
-1066.9128,0.91588105,0.61030207,3,7,0,1068.083,0.399953,12.407607,0.27127981,0.24516223,0.35620842,0.31774681
-1065.4897,0.93840118,0.61030207,3,7,0,1071.2402,0.28369021,13.435762,0.26436931,0.29374615,0.25132551,0.29899313
-1063.3591,0.99952548,0.61030207,3,7,0,1067.1061,0.33354976,12.130375,0.27346865,0.23821082,0.32603481,0.30367814
-1064.5034,0.97080812,0.61030207,3,7,0,1066.8246,0.27845242,77.730592,0.30895767,0.27496992,0.30138291,0.31344691
-1064.724,1,0.61030207,3,7,0,1067.1106,0.33006101,5.5485255,0.22646505,0.26103931,0.30575167,0.30012094
-1064.2451,1,0.61030207,2,3,0,1065.0319,0.32959445,5.9416762,0.23464848,0.26324993,0.30880462,0.29369803
-1064.8146,0.89207326,0.61030207,3,7,0,1068.3759,0.24129005,68.027641,0.29318483,0.27038941,0.28446728,0.31328171
-1065.824,0.980821,0.61030207,3,7,0,1069.6822,0.38511913,8.0863895,0.31878215,0.28747042,0.30672234,0.31706111
-1062.0363,0.9711389,0.61030207,2,7,0,1066.6692,0.32538922,16.587466,0.27351742,0.27715587,0.28163352,0.31255996
-1063.4985,0.5216982,0.61030207,3,7,0,1072.9318,0.24587498,8.2347269,0.27153044,0.29623733,0.31461867,0.30402513
-1063.8453,1,0.61030207,3,7,0,1064.9857,0.24639169,4.9520793,0.26261251,0.26171753,0.30833434,0.2981435
-1066.3402,0.89010932,0.61030207,2,7,0,1067.3291,0.23818339,4.4902125,0.23682412,0.24026742,0.27439421,0.30227861
-1065.2778,0.9646292,0.61030207,3,7,0,1069.6389,0.17631624,11.561085,0.23867625,0.26116769,0.2692762,0.29636688
-1063.4729,0.94791617,0.61030207,2,3,0,1066.9589,0.18816293,21.218835,0.24815673,0.25928008,0.28456386,0.30151167
-1063.1177,0.99438239,0.61030207,3,7,0,1064.3919,0.37660971,28.303486,0.28042608,0.27485449,0.32111085,0.30602481
-1061.4769,0.6913416,0.61030207,2,3,0,1065.9204,0.29660676,18.006707,0.28679503,0.273678,0.31619618,0.30792581
-1063.7715,0.81530659,0.61030207,2,3,0,1065.0095,0.27298418,12.528863,0.26510519,0.27944978,0.34064257,0.2857912
-1062.2772,1,0.61030207,3,7,0,1064.3973,0.30774318,55.425972,0.2771551,0.26363874,0.28585338,0.31688457
-1063.168,0.9201919,0.61030207,3,7,0,1065.0781,0.25537371,7.7096385,0.25419225,0.26369739,0.32523129,0.30481988
-1062.9078,0.91559747,0.61030207,3,7,0,1066.7392,0.24685179,33.862539,0.27505779,0.27765176,0.29020195,0.27301824
-1062.4715,0.98286723,0.61030207,2,7,0,1064.5351,0.31594975,22.860579,0.27085334,0.28646381,0.32396746,0.33224571
