# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = model_with_prior_model
# start_datetime = 2026-04-03 16:15:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = player_data.json
# init = 2 (Default)
# random
#   seed = 1531600736 (Default)
# output
#   file = model_with_prior_results.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0-77-g002979f
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,kappa,theta.1,theta.2,theta.3,theta.4,mu_prior,kappa_prior,theta_prior.1,theta_prior.2,theta_prior.3,theta_prior.4,y_prior.1,y_prior.2,y_prior.3,y_prior.4
# Adaptation terminated
# Step size = 0.532555
# Diagonal elements of inverse mass matrix:
# 0.0706465, 0.446331, 0.0130934, 0.0074024, 0.00803084, 0.00814246
-1292.2394,0.95314092,0.5325545,3,7,0,1296.7407,0.24109343,21.278658,0.21546871,0.31849899,0.29662937,0.23137808,0.17823964,12.528173,0.18206854,0.30315204,0.14614178,0.37445213,87,179,98,228
-1292.4535,0.89931808,0.5325545,3,7,0,1298.1251,0.26308383,9.1978078,0.2474933,0.27042343,0.29991495,0.27301645,0.064835988,1.3587228,0.012955431,1.6686877e-08,0.0019957111,0.0085359759,8,0,0,8
-1290.7741,0.97605736,0.5325545,3,7,0,1294.1251,0.28699991,39.055063,0.20811183,0.30472586,0.27804256,0.2538829,0.15082366,4.2501038,0.0001247719,0.26302713,0.39848508,0.074483069,0,164,260,29
-1292.4903,0.93089513,0.5325545,2,7,0,1293.7407,0.23788632,33.511865,0.18901945,0.28261674,0.27435749,0.25714625,0.13807045,3.0532032,0.015880894,0.076308081,0.42040283,0.10974967,4,45,259,67
-1290.9955,0.97783988,0.5325545,3,7,0,1294.6964,0.28570651,39.055262,0.25274831,0.27087608,0.28992314,0.27562329,0.084270131,4.8503071,0.004845275,0.090017922,0.25783051,0.11797438,2,50,158,65
-1289.6995,0.9259031,0.5325545,3,7,0,1292.6419,0.23800151,28.905913,0.23409241,0.29269105,0.29313078,0.25155344,0.10802561,14.478728,0.23353482,0.23824958,0.20479824,0.047785224,117,116,119,27
-1291.1638,0.92629681,0.5325545,2,3,0,1291.687,0.27034252,27.235443,0.21321349,0.29637142,0.29008295,0.23060608,0.60746136,14.527544,0.7240715,0.50733727,0.54420192,0.48525602,331,290,322,293
-1290.997,0.96823799,0.5325545,3,7,0,1293.6928,0.24477556,13.304917,0.23506122,0.32191955,0.27669291,0.25991994,0.25184239,1.1453614,0.0027251581,3.9679167e-09,0.22417846,0.69576682,1,0,150,429
-1290.9289,0.88609945,0.5325545,3,7,0,1294.5331,0.2698577,31.071473,0.21144614,0.27617098,0.2736815,0.24030711,0.23609394,16.179908,0.20498125,0.2931954,0.30848766,0.065022966,109,157,178,27
-1290.5644,0.96407962,0.5325545,3,7,0,1293.8407,0.25928527,25.681639,0.25986556,0.28274968,0.29324144,0.26914411,0.1779553,11.497911,0.21150162,0.098482139,0.21701742,0.14959698,106,67,128,87
-1290.6609,0.99886541,0.5325545,3,7,0,1291.7865,0.28394761,26.722591,0.2327268,0.26740228,0.29499812,0.26984767,0.19675147,0.36085606,3.0648879e-12,6.4628909e-06,0.64367144,0.98035452,0,0,395,577
-1289.7313,0.96862792,0.5325545,3,7,0,1291.8252,0.26092698,25.413236,0.22953479,0.31298197,0.28773993,0.2608668,0.11660262,5.2951493,0.12335417,0.011353244,0.0098924534,0.1474882,68,4,4,80
-1292.1536,0.85613953,0.5325545,2,3,0,1292.6848,0.27069812,6.6832781,0.21976942,0.3152459,0.28939238,0.2611021,0.26773592,5.9282152,0.38640652,0.3885065,0.1157731,0.57463708,187,214,84,334
-1291.9612,0.95704942,0.5325545,3,7,0,1295.2663,0.26841737,73.840221,0.24047218,0.26771097,0.27395507,0.25428799,0.16298211,12.913632,0.088543224,0.14712681,0.53089097,0.18016076,48,71,327,99
-1293.1281,0.86449426,0.5325545,3,7,0,1295.441,0.26116788,7.8976319,0.21703164,0.3257405,0.26952372,0.24173152,0.089765895,12.179823,0.080518226,0.14322325,0.085165139,0.090620509,33,67,54,47
-1290.0771,0.98554458,0.5325545,3,7,0,1294.9101,0.24486582,35.531116,0.24267836,0.29813227,0.2652264,0.24532153,0.36408735,2.3798887,0.029433541,0.34550745,0.12313896,0.58317204,8,177,75,354
-1291.3752,0.93352831,0.5325545,3,7,0,1292.9698,0.28471479,16.493154,0.22924877,0.3094628,0.30219863,0.28316565,0.13744796,1.8056468,0.069601071,0.058470436,0.0001101201,0.030576789,38,40,0,20
-1292.8264,0.94020003,0.5325545,3,7,0,1295.1274,0.28569608,32.120226,0.21094558,0.28833731,0.31541843,0.23536019,0.25606442,19.547475,0.32975813,0.35883147,0.29995368,0.14608173,167,214,175,86
-1289.9228,0.96831937,0.5325545,2,3,0,1293.6381,0.25093833,17.334172,0.23205389,0.28651269,0.29558754,0.26266759,0.12836948,2.2467209,0.053266492,0.32441471,0.017364767,0.25202344,24,197,10,134
-1291.0534,0.88476967,0.5325545,2,3,0,1292.4118,0.23635035,35.209165,0.22202167,0.29958215,0.29892821,0.27747277,0.3526504,7.1361386,0.40830735,0.34411427,0.37939897,0.33264303,204,179,213,199
-1292.4397,0.93335966,0.5325545,3,7,0,1295.1298,0.30055521,14.030996,0.21633656,0.26325813,0.29309948,0.24154431,0.09314,8.1793954,0.19604498,0.061215662,0.35049472,0.12950501,82,27,222,72
-1293.785,0.91928914,0.5325545,3,7,0,1296.7655,0.22868159,82.649523,0.22470419,0.27463112,0.28960795,0.27034957,0.13014966,3.7712569,0.29235729,0.055867704,0.013195366,0.098352397,138,22,11,52
-1294.3023,1,0.5325545,3,7,0,1296.6533,0.29416186,4.4245549,0.25249541,0.27098836,0.26093668,0.25727224,0.26560213,14.097563,0.29445854,0.19986348,0.36431329,0.25629341,133,112,210,148
-1291.9987,0.99181143,0.5325545,3,7,0,1296.221,0.35584083,29.09325,0.22629355,0.30510957,0.28077047,0.24839426,0.1534377,2.641945,0.000610235,0.29550273,0.17319032,0.046043912,1,154,118,21
-1291.3823,1,0.5325545,2,3,0,1292.3347,0.34801535,25.801868,0.23317166,0.30394222,0.27778785,0.24524865,0.4453794,10.690934,0.55588886,0.66744066,0.24574189,0.40537851,236,377,137,239
-1291.2979,0.99088047,0.5325545,3,7,0,1293.6626,0.1943318,17.975307,0.22847092,0.29946579,0.29416109,0.26660468,0.48323099,4.9713563,0.14740319,0.42760718,0.48084517,0.47513392,74,245,281,280
-1291.2425,0.98810114,0.5325545,3,7,0,1292.1006,0.3485664,27.355205,0.23643391,0.29164176,0.27626051,0.2505973,0.28104045,32.205181,0.23635495,0.19457583,0.38509517,0.22575413,120,123,234,135
-1292.7295,0.83170267,0.5325545,3,7,0,1295.2319,0.21321111,21.056228,0.27233571,0.29244997,0.259531,0.25250608,0.088589547,3.1222334,0.32658655,0.0062422112,0.10944409,0.0021436988,141,1,66,2
-1293.5222,0.94883965,0.5325545,3,7,0,1296.7284,0.20879584,11.14208,0.22600482,0.27131687,0.25615199,0.23106216,0.37462456,9.9426907,0.2773199,0.23357939,0.33555574,0.31958707,129,153,196,202
-1291.9676,1,0.5325545,3,7,0,1295.3657,0.28749597,54.831512,0.23122462,0.2881932,0.31531206,0.25510188,0.14445241,4.8581033,0.11790055,0.010234862,0.057795245,0.18757778,47,4,37,100
-1292.4592,1,0.5325545,3,7,0,1293.903,0.25610222,11.43615,0.23255011,0.28889341,0.24612463,0.27285594,0.19083339,28.586342,0.21675248,0.15729428,0.15857771,0.1758719,96,92,91,105
-1292.1071,0.93429102,0.5325545,3,7,0,1296.2843,0.18734041,12.508366,0.21168845,0.27910553,0.29005783,0.25667178,0.20245931,39.251917,0.14447444,0.2245326,0.28489753,0.19066524,70,116,154,109
-1292.4018,0.97607427,0.5325545,3,7,0,1293.8045,0.33050649,42.508267,0.25210818,0.31857547,0.27237817,0.24711798,0.073662652,6.4650869,0.2788675,0.069113863,0.21931031,0.00045283866,130,34,127,0
-1292.6136,1,0.5325545,3,7,0,1294.0225,0.1925999,18.394319,0.22731274,0.25640911,0.27661572,0.25933335,0.047788456,33.470362,0.099586767,0.036163731,0.018130252,0.0038320143,44,13,12,4
-1292.1359,0.94712834,0.5325545,3,7,0,1295.0879,0.30590748,12.408094,0.25252031,0.3302769,0.28463065,0.25724582,0.10125053,36.674285,0.060714476,0.10446658,0.13747074,0.18187212,25,49,82,111
-1291.751,0.99353677,0.5325545,3,7,0,1294.503,0.24629531,21.424177,0.20401122,0.26728523,0.28059821,0.24481415,0.083610974,0.66669669,1.9001662e-11,0.97636478,1.3359724e-11,2.0306825e-16,0,540,0,0
-1291.1901,0.98580888,0.5325545,3,7,0,1293.6455,0.20007114,16.516005,0.2478281,0.30291652,0.28938084,0.25771171,0.23448282,5.6517028,0.0071218329,0.098330477,0.074559159,0.43259309,4,50,47,248
-1294.3294,0.71448216,0.5325545,2,3,0,1297.4223,0.1784845,16.222885,0.26450341,0.30005918,0.24910774,0.25354118,0.10653261,1.9770004,0.14247013,0.08486906,0.11047055,0.041523959,69,38,55,15
-1292.526,0.98560426,0.5325545,3,7,0,1296.8021,0.33427969,22.372911,0.24450703,0.2940667,0.25424253,0.23760685,0.11021707,6.7378259,0.19401357,0.13541419,0.0016107628,0.21470761,79,70,0,119
-1291.8152,1,0.5325545,2,7,0,1293.169,0.32848833,19.211397,0.23211993,0.29763674,0.25580025,0.24155289,0.29470491,0.94150896,0.29265963,0.971658,7.552261e-05,0.058098041,133,535,0,36
-1292.0787,0.98937389,0.5325545,2,7,0,1292.8192,0.31132504,22.182263,0.2240666,0.29977356,0.25284184,0.23760522,0.032697182,7.7686111,0.00010948635,0.0077167027,0.25751108,0.032102957,0,2,183,25
-1290.9721,0.94143166,0.5325545,3,7,0,1294.4946,0.25184205,31.181319,0.24375329,0.28918533,0.30577253,0.2780759,0.22252166,11.740576,0.26406111,0.19850058,0.14137137,0.13935016,141,111,83,71
-1290.4602,0.96692462,0.5325545,3,7,0,1293.1088,0.30285901,29.544868,0.23188273,0.3225096,0.28382482,0.25928261,0.36099128,29.369113,0.28403547,0.46514329,0.25506512,0.2783636,125,255,151,135
-1292.4893,0.92956004,0.5325545,3,7,0,1293.4807,0.28757609,9.8165536,0.25158356,0.265733,0.28334276,0.27635943,0.062990878,23.396669,0.19819242,0.05996797,0.0378777,0.048253023,79,29,32,28
-1292.1904,0.97201749,0.5325545,3,7,0,1295.8134,0.27259864,39.162011,0.21087236,0.31581116,0.25900128,0.24031126,0.1482925,6.2351309,0.1559223,0.061845863,0.12157068,0.29523384,80,40,81,186
-1289.5813,0.99167406,0.5325545,2,7,0,1293.4086,0.26078679,35.723957,0.22113128,0.29296526,0.28922704,0.26424806,0.54014849,6.8070327,0.46966181,0.21090881,0.49050031,0.75930086,224,103,299,459
-1294.0858,0.61685141,0.5325545,3,7,0,1295.5041,0.3677318,5.2771743,0.25397966,0.28746021,0.29382841,0.23725581,0.15397481,1.4332539,2.7426268e-05,0.25987688,0.11942464,0.081857559,0,142,82,49
-1297.6335,0.8734855,0.5325545,2,3,0,1298.2045,0.36049806,3.4495869,0.28018837,0.30061527,0.30434642,0.23632812,0.098078742,16.690357,0.14225376,0.24426259,0.062785627,0.028861588,55,128,34,19
-1295.0531,1,0.5325545,3,7,0,1299.4262,0.34139002,3.2305965,0.26309553,0.2772151,0.28667748,0.26006756,0.28435979,3.4142704,0.669775,0.4639791,0.34949732,0.29364169,302,276,203,156
-1290.2033,0.97731269,0.5325545,3,7,0,1296.9301,0.3012053,41.545362,0.22485209,0.29415271,0.28729021,0.25059937,0.22305064,3.5885029,0.090728959,0.082983508,0.039812514,0.21972446,33,46,21,138
